Removed Pin From Net: NetName=NetR9_1 Pin=TAB1-1
Change Component Kind : Designator=P1 Old Kind=Standard New Kind=Standard (No BOM)
Change component parameters: Designator = "U2" ("U2"); Footprint = "SOIC-8 REFLOW"; UniqueID = "\JCBCTWYX\RTWKNZVR" ("\JCBCTWYX\RTWKNZVR")
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Supply Current"; Value = "2.9uA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Current per Channel"; Value = "5mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "250"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Supply Rejection Ratio (PSRR)"; Value = "113.98dB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=1.09, 25=0.954, 50=0.841, 100=0.728, 250=0.686, 500=0.644, 1000=0.509, 2500=0.502 (EUR)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Slew Rate"; Value = "0.03V/µs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "215"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "296-53049-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Unity Gain Bandwidth Product"; Value = "90kHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Gain"; Value = "120dB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "1.6mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "U1" ("U1"); Footprint = "VSSOP-10"; UniqueID = "\MONAZEAS\ZXFGQEHU" ("\MONAZEAS\ZXFGQEHU")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.nxp.com/docs/en/data-sheet/PCF8591.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TEXAS INSTRUMENTS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "ADS1015IDGST"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "3116553"; VariantName = "[No Variations]"
Change component parameters: Designator = "T2" ("T2"); Footprint = "SOT 23"; UniqueID = "\JCBCTWYX\UJIUZKZA" ("\JCBCTWYX\UJIUZKZA")
Change component parameters (AddParameter): Name = "Author"; Value = "Ciril Golob"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "C:\ELRADSVN\Altium_Library\Libraries\Active\Datasheet\2N7002ET1G.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLINK2Description"; Value = "Datasheet www"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLINK2URL"; Value = "http://www.onsemi.com/pub/Collateral/BSS123-D.PDF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Date"; Value = "11.07.2018"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FIT"; Value = "0.44"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Komp / Device"; Value = "SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ON SEMICONDUCTOR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer No"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "BC847B,215"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Opomba / Remark"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2317616"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = "863-2N7002ET1G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Toleranca / Tolerance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "BSS123"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Velikost / Size"; Value = "SOT23"; VariantName = "[No Variations]"
Change component parameters: Designator = "T3" ("T3"); Footprint = "SOT 23"; UniqueID = "\JCBCTWYX\CGLROAFE" ("\JCBCTWYX\CGLROAFE")
Change component parameters (AddParameter): Name = "Author"; Value = "Ciril Golob"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "C:\ELRADSVN\Altium_Library\Libraries\Active\Datasheet\2N7002ET1G.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLINK2Description"; Value = "Datasheet www"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLINK2URL"; Value = "http://www.onsemi.com/pub/Collateral/BSS123-D.PDF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Date"; Value = "11.07.2018"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FIT"; Value = "0.44"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Komp / Device"; Value = "SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ON SEMICONDUCTOR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer No"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "BC847B,215"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Opomba / Remark"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2317616"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = "863-2N7002ET1G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Toleranca / Tolerance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "BSS123"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Velikost / Size"; Value = "SOT23"; VariantName = "[No Variations]"
Change component parameters: Designator = "T4" ("T4"); Footprint = "SOT 23"; UniqueID = "\JCBCTWYX\FJCXVSJU" ("\JCBCTWYX\FJCXVSJU")
Change component parameters (AddParameter): Name = "Author"; Value = "Ciril Golob"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "C:\ELRADSVN\Altium_Library\Libraries\Active\Datasheet\2N7002ET1G.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLINK2Description"; Value = "Datasheet www"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLINK2URL"; Value = "http://www.onsemi.com/pub/Collateral/BSS123-D.PDF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Date"; Value = "11.07.2018"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FIT"; Value = "0.44"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Komp / Device"; Value = "SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ON SEMICONDUCTOR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer No"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "BC847B,215"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Opomba / Remark"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2317616"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = "863-2N7002ET1G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Toleranca / Tolerance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "BSS123"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Velikost / Size"; Value = "SOT23"; VariantName = "[No Variations]"
Change component parameters: Designator = "T5" ("T5"); Footprint = "SOT 23"; UniqueID = "\JCBCTWYX\GAVGRTQJ" ("\JCBCTWYX\GAVGRTQJ")
Change component parameters (AddParameter): Name = "Author"; Value = "Ciril Golob"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "C:\ELRADSVN\Altium_Library\Libraries\Active\Datasheet\2N7002ET1G.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLINK2Description"; Value = "Datasheet www"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLINK2URL"; Value = "http://www.onsemi.com/pub/Collateral/BSS123-D.PDF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Date"; Value = "11.07.2018"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FIT"; Value = "0.44"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Komp / Device"; Value = "SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ON SEMICONDUCTOR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer No"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "BC847B,215"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Opomba / Remark"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2317616"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = "863-2N7002ET1G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Toleranca / Tolerance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "BSS123"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Velikost / Size"; Value = "SOT23"; VariantName = "[No Variations]"
Added Component: Designator=R39(RES2512)
Add component (AddParameter): Name = "Automotive Qualification Standard"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.farnell.com/datasheets/1788326.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.farnell.com/datasheets/1788326.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "http://www.farnell.com/cad/1558928.zip"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.farnell.com/cad/1558928.zip"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "External Depth"; Value = "0.45"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "External Length / Height"; Value = "1.6"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "External Width"; Value = "0.8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "IRNAS Part No."; Value = "I-100006"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "MULTICOMP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "MC0063W060311M"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "No. of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature Max"; Value = "155"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature Min"; Value = "-55"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature Range"; Value = "-55°C to +155"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "63"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "10=0.0011, 100=0.001, 500=0.0009, 1000=0.0008, 2500=0.0007 (GBP)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product Range"; Value = "MC Series"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Reel Quantity"; Value = "5000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance Tolerance"; Value = "± 1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistor Case Style"; Value = "0603 [1608 Metric]"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistor Element Material"; Value = "Thick Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistor Mounting"; Value = "Surface Mount Device"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Y-EX"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "333415"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "2395991"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SVHC"; Value = "No SVHC (17-Dec-2015)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tape Width"; Value = "8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coeff. +"; Value = "100"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coeff. -"; Value = "100"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "± 100"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance +"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance -"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating V DC"; Value = "50V<!--FANDB--><div class="features-and-benefits-container"><div class="features-and-benefits-description"><span class="features-benefits-value">The Multicomp MC series current sense resistors are thick film chip resistors. The resistance range includes E96 and E24 decade values from 1ohm to 10Mohm.</span></div><div class="features-and-benefits-list"><ul class="features-and-benefits-list-list"><li class="features-and-benefits-list-item">EIA 0402, 0603, 0805, 1206 chip sizes available</li><li class="features-and-benefits-list-item">Small size and low weight</li><li class="features-and-benefits-list-item">Suitable for both wave and reflow soldering</li><li class="features-and-benefits-list-item">Reduction of assembly costs</li><li class="features-and-benefits-list-item">Maximum working voltage of 50V(0402, 0603), 150V(0805), 200V(1206)</li><li class="features-and-benefits-list-item">Available in ±1%, ±2% and ±5% tolerance</li><li class="features-and-benefits-list-item">Power rating of 62.5mW, 100mW and 125mW</li><li class="features-and-benefits-list-item">±400ppm/°C(1ohm to 10ohm), ±200ppm/°C(11ohm to 100ohm), ±100"; VariantName = "[No Variations]"
Added Component: Designator=R40(RES2512)
Add component (AddParameter): Name = "Automotive Qualification Standard"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.farnell.com/datasheets/1788326.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.farnell.com/datasheets/1788326.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "http://www.farnell.com/cad/1558928.zip"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.farnell.com/cad/1558928.zip"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "External Depth"; Value = "0.45"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "External Length / Height"; Value = "1.6"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "External Width"; Value = "0.8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "IRNAS Part No."; Value = "I-100006"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "MULTICOMP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "MC0063W060311M"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "No. of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature Max"; Value = "155"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature Min"; Value = "-55"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature Range"; Value = "-55°C to +155"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "63"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "10=0.0011, 100=0.001, 500=0.0009, 1000=0.0008, 2500=0.0007 (GBP)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product Range"; Value = "MC Series"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Reel Quantity"; Value = "5000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance Tolerance"; Value = "± 1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistor Case Style"; Value = "0603 [1608 Metric]"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistor Element Material"; Value = "Thick Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistor Mounting"; Value = "Surface Mount Device"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Y-EX"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "333415"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "2395991"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SVHC"; Value = "No SVHC (17-Dec-2015)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tape Width"; Value = "8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coeff. +"; Value = "100"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coeff. -"; Value = "100"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "± 100"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance +"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance -"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating V DC"; Value = "50V<!--FANDB--><div class="features-and-benefits-container"><div class="features-and-benefits-description"><span class="features-benefits-value">The Multicomp MC series current sense resistors are thick film chip resistors. The resistance range includes E96 and E24 decade values from 1ohm to 10Mohm.</span></div><div class="features-and-benefits-list"><ul class="features-and-benefits-list-list"><li class="features-and-benefits-list-item">EIA 0402, 0603, 0805, 1206 chip sizes available</li><li class="features-and-benefits-list-item">Small size and low weight</li><li class="features-and-benefits-list-item">Suitable for both wave and reflow soldering</li><li class="features-and-benefits-list-item">Reduction of assembly costs</li><li class="features-and-benefits-list-item">Maximum working voltage of 50V(0402, 0603), 150V(0805), 200V(1206)</li><li class="features-and-benefits-list-item">Available in ±1%, ±2% and ±5% tolerance</li><li class="features-and-benefits-list-item">Power rating of 62.5mW, 100mW and 125mW</li><li class="features-and-benefits-list-item">±400ppm/°C(1ohm to 10ohm), ±200ppm/°C(11ohm to 100ohm), ±100"; VariantName = "[No Variations]"
Added Pin To Net: NetName=NetR9_1 Pin=R40-2
Added Pin To Net: NetName=NetR39_1 Pin=R39-1
Added Pin To Net: NetName=NetR39_1 Pin=TAB1-1
Added Net: Name=NetR39_1
Added Pin To Net: NetName=NetR39_2 Pin=R39-2
Added Pin To Net: NetName=NetR39_2 Pin=R40-1
Added Net: Name=NetR39_2
Added Member To Class: ClassName=ANALOG Member=Component R39 1M
Added Member To Class: ClassName=ANALOG Member=Component R40 1M
