Removed Pin From Net: NetName=GND Pin=C?-1
Removed Pin From Net: NetName=NetC?_2 Pin=C?-2
Removed Member From Class: ClassName=ANALOG Member=C?
Change Component Footprint: Designator=C7 Old Footprint=CAP0402 New Footprint=CAP0603
Change component parameters: Designator = "C7" ("C7"); Footprint = "CAP0402"; UniqueID = "\JCBCTWYX\KPYEFNAS" ("\JCBCTWYX\KPYEFNAS")
Add component (AddParameter): Name = "Automotive Qualification Standard"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "4.7"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance Tolerance"; Value = "± 10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ceramic Capacitor Case"; Value = "0603 [1608 Metric]"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.farnell.com/datasheets/2079168.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.farnell.com/datasheets/2079168.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric Characteristic"; Value = "X5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "IRNAS Part No."; Value = "I-200001"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "MURATA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "GRM188R61C475KAAJD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MSL"; Value = "MSL 1 - Unlimited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature Max"; Value = "85"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature Min"; Value = "-55"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "10=0.16, 100=0.0929, 500=0.076, 1000=0.0618, 2000=0.0605, 4000=0.0425, 20000=0.0409, 40000=0.0355 (GBP)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product Range"; Value = "GRM Series"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "YES"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "5038"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "2611924"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SVHC"; Value = "No SVHC (17-Dec-2015)<!--FANDB--><div class="features-and-benefits-container"><div class="features-and-benefits-desc-container"><span class="features-and-benefits-container-desc">SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 4.7 µF, 16 V, ± 10%, X5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "16"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=C8-1
Added Pin To Net: NetName=NetC?_2 Pin=C8-2
Change Net Name : Old Net Name=NetC?_2 New Net Name=NetC8_2
Added Member To Class: ClassName=ANALOG Member=Component C8 4.7pF
